Technology,Deg_Celsius,Efficiency
chiller,-10,89.6
chiller,-9.75,89.5
chiller,-9.5,89.5
chiller,-9.25,89.4
chiller,-9,89.4
chiller,-8.75,89.4
chiller,-8.5,89.4
chiller,-8.25,89.3
chiller,-8,89.3
chiller,-7.75,89.2
chiller,-7.5,89.1
chiller,-7.25,89.1
chiller,-7,89
chiller,-6.75,89
chiller,-6.5,89
chiller,-6.25,88.9
chiller,-6,88.8
chiller,-5.75,88.7
chiller,-5.5,88.7
chiller,-5.25,88.7
chiller,-5,88.6
chiller,-4.75,88.5
chiller,-4.5,88.4
chiller,-4.25,88.4
chiller,-4,88.3
chiller,-3.75,88.3
chiller,-3.5,88.2
chiller,-3.25,88.1
chiller,-3,88
chiller,-2.75,88
chiller,-2.5,87.9
chiller,-2.25,87.8
chiller,-2,87.7
chiller,-1.75,87.6
chiller,-1.5,87.5
chiller,-1.25,87.4
chiller,-1,87.3
chiller,-0.75,87.2
chiller,-0.5,87.1
chiller,-0.25,87
chiller,0,86.9
chiller,0.25,86.8
chiller,0.5,86.7
chiller,0.75,86.6
chiller,1,86.4
chiller,1.25,86.3
chiller,1.5,86.2
chiller,1.75,86.1
chiller,2,85.9
chiller,2.25,85.8
chiller,2.5,85.6
chiller,2.75,85.5
chiller,3,85.3
chiller,3.25,85.2
chiller,3.5,85
chiller,3.75,84.8
chiller,4,84.6
chiller,4.25,84.5
chiller,4.5,84.2
chiller,4.75,84
chiller,5,83.8
chiller,5.25,83.6
chiller,5.5,83.4
chiller,5.75,83.2
chiller,6,83
chiller,6.25,82.7
chiller,6.5,82.4
chiller,6.75,82.2
chiller,7,81.9
chiller,7.25,81.6
chiller,7.5,81.4
chiller,7.75,81
chiller,8,80.7
chiller,8.25,80.4
chiller,8.5,80.1
chiller,8.75,79.7
chiller,9,79.3
chiller,9.25,78.9
chiller,9.5,78.5
chiller,9.75,78.1
chiller,10,77.6
chiller,10.25,77.2
chiller,10.5,76.6
chiller,10.75,76.2
chiller,11,75.6
chiller,11.25,75
chiller,11.5,74.5
chiller,11.75,73.8
chiller,12,73.2
chiller,12.25,72.5
chiller,12.5,71.8
chiller,12.75,71
chiller,13,70.2
chiller,13.25,69.4
chiller,13.5,68.5
chiller,13.75,67.6
chiller,14,66.6
chiller,14.25,65.5
chiller,14.5,64.4
chiller,14.75,63.3
chiller,15,62.1
chiller,15.25,60.8
chiller,15.5,59.4
chiller,15.75,58
chiller,16,56.5
chiller,16.25,54.9
chiller,16.5,53.2
chiller,16.75,51.5
chiller,17,49.7
chiller,17.25,47.8
chiller,17.5,45.8
chiller,17.75,43.7
chiller,18,41.6
chiller,18.25,39.4
chiller,18.5,37.1
chiller,18.75,34.8
chiller,19,32.5
chiller,19.25,30.3
chiller,19.5,28.2
chiller,19.75,26.2
chiller,20,18.8
chiller,20.25,18.8
chiller,20.5,18.8
chiller,20.75,18.8
chiller,21,18.8
chiller,21.25,18.6
chiller,21.5,18
chiller,21.75,17.3
chiller,22,16.6
chiller,22.25,15.9
chiller,22.5,15.2
chiller,22.75,14.6
chiller,23,14
chiller,23.25,13.4
chiller,23.5,12.9
chiller,23.75,12.4
chiller,24,12
chiller,24.25,11.5
chiller,24.5,11.1
chiller,24.75,10.8
chiller,25,10.4
chiller,25.25,10.1
chiller,25.5,9.8
chiller,25.75,9.5
chiller,26,9.2
chiller,26.25,9
chiller,26.5,8.8
chiller,26.75,8.6
chiller,27,8.4
chiller,27.25,8.2
chiller,27.5,8
chiller,27.75,7.8
chiller,28,7.6
chiller,28.25,7.5
chiller,28.5,7.3
chiller,28.75,7.2
chiller,29,7.1
chiller,29.25,6.9
chiller,29.5,6.8
chiller,29.75,6.7
chiller,30,6.6
chiller,30.25,6.5
chiller,30.5,6.4
chiller,30.75,6.3
chiller,31,6.2
chiller,31.25,6.1
chiller,31.5,6
chiller,31.75,5.9
chiller,32,5.8
chiller,32.25,5.8
chiller,32.5,5.7
chiller,32.75,5.6
chiller,33,5.5
chiller,33.25,5.5
chiller,33.5,5.4
chiller,33.75,5.3
chiller,34,5.3
chiller,34.25,5.2
chiller,34.5,5.2
chiller,34.75,5.1
chiller,35,5
chiller,35.25,5
chiller,35.5,4.9
chiller,35.75,4.9
chiller,36,4.8
chiller,36.25,4.8
chiller,36.5,4.7
chiller,36.75,4.7
chiller,37,4.7
chiller,37.25,4.6
chiller,37.5,4.6
chiller,37.75,4.6
chiller,38,4.5
chiller,38.25,4.5
chiller,38.5,4.5
chiller,38.75,4.4
chiller,39,4.4
chiller,39.25,4.4
chiller,39.5,4.3
chiller,39.75,4.3
chiller,40,4.3
chiller,40.25,4.2
chiller,40.5,4.2
chiller,40.75,4.2
chiller,41,4.1
chiller,41.25,4.1
chiller,41.5,4.1
chiller,41.75,4
chiller,42,4
chiller,42.25,4
chiller,42.5,3.9
chiller,42.75,3.9
chiller,43,3.9
chiller,43.25,3.8
chiller,43.5,3.8
chiller,43.75,3.8
chiller,44,3.7
chiller,44.25,3.7
chiller,44.5,3.7
chiller,44.75,3.6
chiller,45,3.6
dry_cooler,-10,0.01
dry_cooler,-9.75,0.01
dry_cooler,-9.5,0.01
dry_cooler,-9.25,0.01
dry_cooler,-9,0.01
dry_cooler,-8.75,0.01
dry_cooler,-8.5,0.01
dry_cooler,-8.25,0.01
dry_cooler,-8,0.01
dry_cooler,-7.75,0.01
dry_cooler,-7.5,0.01
dry_cooler,-7.25,0.01
dry_cooler,-7,0.01
dry_cooler,-6.75,0.01
dry_cooler,-6.5,0.01
dry_cooler,-6.25,0.01
dry_cooler,-6,0.01
dry_cooler,-5.75,0.01
dry_cooler,-5.5,0.01
dry_cooler,-5.25,0.01
dry_cooler,-5,0.01
dry_cooler,-4.75,0.01
dry_cooler,-4.5,0.01
dry_cooler,-4.25,0.01
dry_cooler,-4,0.01
dry_cooler,-3.75,0.01
dry_cooler,-3.5,0.01
dry_cooler,-3.25,0.01
dry_cooler,-3,0.01
dry_cooler,-2.75,0.01
dry_cooler,-2.5,0.01
dry_cooler,-2.25,0.01
dry_cooler,-2,0.01
dry_cooler,-1.75,0.01
dry_cooler,-1.5,0.01
dry_cooler,-1.25,0.01
dry_cooler,-1,0.01
dry_cooler,-0.75,0.01
dry_cooler,-0.5,0.01
dry_cooler,-0.25,0.01
dry_cooler,0,0.01
dry_cooler,0.25,0.01
dry_cooler,0.5,0.01
dry_cooler,0.75,0.01
dry_cooler,1,0.01
dry_cooler,1.25,0.01
dry_cooler,1.5,0.01
dry_cooler,1.75,0.01
dry_cooler,2,0.01
dry_cooler,2.25,0.01
dry_cooler,2.5,0.01
dry_cooler,2.75,0.01
dry_cooler,3,0.01
dry_cooler,3.25,0.01
dry_cooler,3.5,0.01
dry_cooler,3.75,0.01
dry_cooler,4,0.01
dry_cooler,4.25,0.01
dry_cooler,4.5,0.01
dry_cooler,4.75,0.01
dry_cooler,5,0.01
dry_cooler,5.25,0.01
dry_cooler,5.5,0.01
dry_cooler,5.75,0.01
dry_cooler,6,0.01
dry_cooler,6.25,0.01
dry_cooler,6.5,0.01
dry_cooler,6.75,0.01
dry_cooler,7,0.01
dry_cooler,7.25,0.01
dry_cooler,7.5,0.01
dry_cooler,7.75,0.01
dry_cooler,8,0.01
dry_cooler,8.25,0.01
dry_cooler,8.5,0.01
dry_cooler,8.75,0.01
dry_cooler,9,0.01
dry_cooler,9.25,0.01
dry_cooler,9.5,0.01
dry_cooler,9.75,0.01
dry_cooler,10,0.01
dry_cooler,10.25,0.01
dry_cooler,10.5,0.01
dry_cooler,10.75,0.01
dry_cooler,11,0.01
dry_cooler,11.25,0.01
dry_cooler,11.5,0.01
dry_cooler,11.75,0.01
dry_cooler,12,0.01
dry_cooler,12.25,0.01
dry_cooler,12.5,0.01
dry_cooler,12.75,0.01
dry_cooler,13,0.01
dry_cooler,13.25,0.01
dry_cooler,13.5,0.01
dry_cooler,13.75,0.01
dry_cooler,14,0.01
dry_cooler,14.25,0.01
dry_cooler,14.5,0.01
dry_cooler,14.75,0.01
dry_cooler,15,0.01
dry_cooler,15.25,0.01
dry_cooler,15.5,0.01
dry_cooler,15.75,0.01
dry_cooler,16,0.01
dry_cooler,16.25,0.01
dry_cooler,16.5,0.01
dry_cooler,16.75,0.01
dry_cooler,17,0.01
dry_cooler,17.25,0.01
dry_cooler,17.5,0.01
dry_cooler,17.75,0.01
dry_cooler,18,0.01
dry_cooler,18.25,0.01
dry_cooler,18.5,0.01
dry_cooler,18.75,0.01
dry_cooler,19,0.01
dry_cooler,19.25,0.01
dry_cooler,19.5,0.01
