Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MA_utilitypv_class1_moderate,CT_utilitypv_class1_moderate,ME_utilitypv_class1_moderate,MA_landbasedwind_class1_moderate,CT_landbasedwind_class1_moderate,ME_landbasedwind_class1_moderate
1,1,0,1,0.411,0,1,0.692,1,1,1,0,0,0,0.966,0.84,0.814
2,1,0,1,0.41,0,1,0.708,1,1,1,0,0,0,0.972,0.848,0.749
3,1,0,1,0.365,0,1,0.641,1,1,1,0,0,0,0.967,0.872,0.594
4,1,0,1,0.35,0,1,0.61,1,1,1,0,0,0,0.969,0.856,0.514
5,1,0,1,0.343,0,1,0.559,1,1,1,0,0,0,0.953,0.8,0.436
6,1,0,1,0.335,0,1,0.475,1,1,1,0,0,0,0.953,0.749,0.424
7,1,0,1,0.341,0,1,0.405,1,1,1,0,0,0,0.95,0.758,0.391
8,1,0,1,0.283,0,1,0.332,1,1,1,0,0,0,0.917,0.789,0.338
9,1,0.127,1,0.287,0.171,1,0.337,1,1,1,0,0,0,0.876,0.816,0.387
10,1,0.351,1,0.147,0.2003,1,0.175,1,1,1,0.151,0.247,0.193,0.594,0.414,0.183
11,1,0.515,1,0.129,0.4221,1,0.202,1,1,1,0.44,0.524,0.469,0.662,0.514,0.179
12,1,0.601,1,0.147,0.5774,1,0.351,1,1,1,0.597,0.692,0.626,0.78,0.783,0.202
13,1,0.622,1,0.129,0.6504,1,0.322,1,1,1,0.697,0.79,0.721,0.785,0.771,0.268
14,1,0.621,1,0.155,0.6166,1,0.218,1,1,1,0.734,0.826,0.768,0.714,0.59,0.303
15,1,0.581,1,0.172,0.6205,1,0.178,1,1,1,0.731,0.831,0.772,0.728,0.549,0.269
16,1,0.487,1,0.141,0.513,1,0.182,1,1,1,0.674,0.794,0.732,0.754,0.549,0.223
17,1,0.328,1,0.123,0.3369,1,0.187,1,1,1,0.543,0.698,0.675,0.761,0.589,0.202
18,1,0.114,1,0.202,0.1068,1,0.173,1,1,1,0.377,0.556,0.515,0.703,0.516,0.232
19,1,0.034,1,0.22,0,1,0.178,1,1,1,0.106,0.297,0.254,0.673,0.633,0.291
20,1,0,1,0.237,0,1,0.145,1,1,1,0,0,0,0.717,0.642,0.241
21,1,0,1,0.24,0,1,0.16,1,1,1,0,0,0,0.768,0.764,0.246
22,1,0,1,0.25,0,1,0.187,1,1,1,0,0,0,0.797,0.816,0.226
23,1,0,1,0.235,0,1,0.21,1,1,1,0,0,0,0.846,0.819,0.172
24,1,0,1,0.239,0,1,0.221,1,1,1,0,0,0,0.842,0.837,0.202
