Time_Index,CT_NG,ME_NG,MA_NG,None
0,0.05306,0.05306,0.05306,0
1,5.45,5.45,5.28,0
2,5.45,5.45,5.28,0
3,4.09,4.09,3.98,0
4,4.09,4.09,3.98,0
5,3.14,3.14,3.69,0
6,3.14,3.14,3.69,0
7,2.13,2.13,3.18,0
8,2.13,2.13,3.18,0
9,2.13,2.13,3.18,0
10,2.13,2.13,3.18,0
11,1.82,1.82,2.23,0
12,1.82,1.82,2.23,0
13,1.82,1.82,2.23,0
14,1.82,1.82,2.23,0
15,1.75,1.75,2.11,0
16,1.75,1.75,2.11,0
17,1.75,1.75,2.11,0
18,1.63,1.63,1.81,0
19,1.63,1.63,1.81,0
20,1.63,1.63,1.81,0
21,2.78,2.78,2.74,0
22,2.78,2.78,2.74,0
23,3.78,3.78,4.28,0
24,3.78,3.78,4.28,0
25,5.45,5.45,5.28,0
26,5.45,5.45,5.28,0
27,4.09,4.09,3.98,0
28,4.09,4.09,3.98,0
29,3.14,3.14,3.69,0
30,3.14,3.14,3.69,0
31,2.13,2.13,3.18,0
32,2.13,2.13,3.18,0
33,2.13,2.13,3.18,0
34,2.13,2.13,3.18,0
35,1.82,1.82,2.23,0
36,1.82,1.82,2.23,0
37,1.82,1.82,2.23,0
38,1.82,1.82,2.23,0
39,1.75,1.75,2.11,0
40,1.75,1.75,2.11,0
41,1.75,1.75,2.11,0
42,1.63,1.63,1.81,0
43,1.63,1.63,1.81,0
44,1.63,1.63,1.81,0
45,2.78,2.78,2.74,0
46,2.78,2.78,2.74,0
47,3.78,3.78,4.28,0
48,3.78,3.78,4.28,0
49,5.45,5.45,5.28,0
50,5.45,5.45,5.28,0
51,4.09,4.09,3.98,0
52,4.09,4.09,3.98,0
53,3.14,3.14,3.69,0
54,3.14,3.14,3.69,0
55,2.13,2.13,3.18,0
56,2.13,2.13,3.18,0
57,2.13,2.13,3.18,0
58,2.13,2.13,3.18,0
59,1.82,1.82,2.23,0
60,1.82,1.82,2.23,0
61,1.82,1.82,2.23,0
62,1.82,1.82,2.23,0
63,1.75,1.75,2.11,0
64,1.75,1.75,2.11,0
65,1.75,1.75,2.11,0
66,1.63,1.63,1.81,0
67,1.63,1.63,1.81,0
68,1.63,1.63,1.81,0
69,2.78,2.78,2.74,0
70,2.78,2.78,2.74,0
71,3.78,3.78,4.28,0
72,3.78,3.78,4.28,0
73,5.45,5.45,5.28,0
74,5.45,5.45,5.28,0
75,4.09,4.09,3.98,0
76,4.09,4.09,3.98,0
77,3.14,3.14,3.69,0
78,3.14,3.14,3.69,0
79,2.13,2.13,3.18,0
80,2.13,2.13,3.18,0
81,2.13,2.13,3.18,0
82,2.13,2.13,3.18,0
83,1.82,1.82,2.23,0
84,1.82,1.82,2.23,0
85,1.82,1.82,2.23,0
86,1.82,1.82,2.23,0
87,1.75,1.75,2.11,0
88,1.75,1.75,2.11,0
89,1.75,1.75,2.11,0
90,1.63,1.63,1.81,0
91,1.63,1.63,1.81,0
92,1.63,1.63,1.81,0
93,2.78,2.78,2.74,0
94,2.78,2.78,2.74,0
95,3.78,3.78,4.28,0
96,3.78,3.78,4.28,0
97,5.45,5.45,5.28,0
98,5.45,5.45,5.28,0
99,4.09,4.09,3.98,0
100,4.09,4.09,3.98,0
101,3.14,3.14,3.69,0
102,3.14,3.14,3.69,0
103,2.13,2.13,3.18,0
104,2.13,2.13,3.18,0
105,2.13,2.13,3.18,0
106,2.13,2.13,3.18,0
107,1.82,1.82,2.23,0
108,1.82,1.82,2.23,0
109,1.82,1.82,2.23,0
110,1.82,1.82,2.23,0
111,1.75,1.75,2.11,0
112,1.75,1.75,2.11,0
