Time_Index,Hydro_Res_1_1,Hydro_RoR_1_1,PHS_1_1,Li-ion_1,PV_1_0_1,Wind_1_0_1,Wind_1_1_1,Wind_1_2_1,CCGT_old_1,OCGT_old_1,NGST_old_1,Nuclear_old_1,Bio_1,CCGT_1,OCGT_F_1,Coal_1,Hydro_Res_2_2,Hydro_RoR_2_2,PHS_2_2,Li-ion_2,PV_2_0_2,Wind_2_0_2,Wind_2_1_2,Wind_2_2_2,CCGT_old_2,OCGT_old_2,NGST_old_2,Nuclear_old_2,Bio_2,CCGT_2,OCGT_F_2,Coal_2,Hydro_Res_3_3,Hydro_RoR_3_3,PHS_3_3,Li-ion_3,PV_3_0_3,Wind_3_0_3,Wind_3_1_3,Wind_3_2_3,CCGT_old_3,OCGT_old_3,NGST_old_3,Nuclear_old_3,Bio_3,CCGT_3,OCGT_F_3,Coal_3,Hydro_Res_4_4,Hydro_RoR_4_4,Li-ion_4,PV_4_0_4,Wind_4_0_4,Wind_4_1_4,Wind_4_2_4,CCGT_old_4,OCGT_old_4,NGST_old_4,Nuclear_old_4,Bio_4,CCGT_4,OCGT_F_4,Coal_4
1,0.561645861,0.566424135,1.0,1.0,0.0,0.73833485,0.628616589,0.396019427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.0,0.834993131,0.791635029,0.481643779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.0,0.61426053,0.553092167,0.50256625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.0,0.72206516,0.709674754,0.683397924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.561645861,0.566424135,1.0,1.0,0.0,0.709251125,0.593571543,0.393690187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.0,0.836447694,0.793872305,0.486501179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.0,0.616264377,0.551518285,0.480555728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.0,0.712810513,0.690646439,0.686019151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.561645861,0.566424135,1.0,1.0,0.0,0.673208069,0.557928721,0.364079363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.0,0.83585701,0.769560241,0.487219662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.0,0.604018375,0.53170934,0.46268843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.0,0.701459885,0.661184652,0.672122728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.561645861,0.566424135,1.0,1.0,0.0,0.642525457,0.529267781,0.328716913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.0,0.833218614,0.72778168,0.382272214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.0,0.580427536,0.495111216,0.442779381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.0,0.719243981,0.658930404,0.671884919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.561645861,0.566424135,1.0,1.0,0.0,0.623055078,0.508111539,0.302432717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.0,0.829005798,0.670477059,0.27753555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.0,0.542647627,0.471073806,0.431660807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.0,0.710998938,0.661577398,0.673997336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.561645861,0.566424135,1.0,1.0,0.0,0.607759178,0.481498648,0.276178794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.0,0.819910722,0.594656932,0.266394596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.0,0.51618572,0.455991361,0.412389156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.0,0.70657147,0.655111305,0.668724568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.561645861,0.566424135,1.0,1.0,0.0,0.594657053,0.473009359,0.259473506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.01,0.801057708,0.546262607,0.275706787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.0,0.491087525,0.449369142,0.392818975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.018651833,0.68768294,0.638480812,0.663335674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.561645861,0.566424135,1.0,1.0,0.083390554,0.59352007,0.473851701,0.250380079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.068337039,0.775470936,0.539712993,0.281983555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.119979093,0.464696838,0.439654311,0.384732132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.127912376,0.661304245,0.608246846,0.620004811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.561645861,0.566424135,1.0,1.0,0.185866991,0.488719912,0.350812386,0.184173244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.144396848,0.749454302,0.484560834,0.228885656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.295463325,0.336533016,0.269406335,0.238899052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.197576389,0.531875373,0.46311025,0.332393523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.561645861,0.566424135,1.0,1.0,0.160233561,0.362179327,0.238965599,0.161162039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.580830121,0.251944299,1.0,1.0,0.192750732,0.700931814,0.374591707,0.137694638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.234150418,0.361688467,1.0,1.0,0.360611745,0.242359828,0.159386346,0.121278952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.113198925,1.0,0.245445802,0.439021177,0.34426651,0.26882122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
